2022-01-15;Торт1;1.5;1200.50
2022-01-16;Торт2;1.2;950.25
2022-01-17;Торт3;1.8;1500.75
2022-01-18;Торт4;1.4;1100.00
2022-01-19;Торт5;1.6;1350.75
2022-02-20;Торт6;1.5;1200.50
2022-02-21;Торт7;1.2;950.25
2022-02-22;Торт8;1.8;1500.75
2022-02-23;Торт9;1.4;1100.00
2022-02-24;Торт10;1.6;1350.75
2022-03-25;Торт11;1.5;1200.50
2022-03-26;Торт12;1.2;950.25
2022-03-27;Торт13;1.8;1500.75
2022-03-28;Торт14;1.4;1100.00
2022-03-29;Торт15;1.6;1350.75
2022-04-30;Торт16;1.5;1200.50
2022-04-01;Торт17;1.2;950.25
2022-04-02;Торт18;1.8;1500.75
2022-04-03;Торт19;1.4;1100.00
2022-04-04;Торт20;1.6;1350.75
2022-05-05;Торт21;1.5;1200.50
2022-05-06;Торт22;1.2;950.25
2022-05-07;Торт23;1.8;1500.75
2022-05-08;Торт24;1.4;1100.00
2022-05-09;Торт25;1.6;1350.75
2022-06-10;Торт26;1.5;1200.50
2022-06-11;Торт27;1.2;950.25
2022-06-12;Торт28;1.8;1500.75
2022-06-13;Торт29;1.4;1100.00
2022-06-14;Торт30;1.6;1350.75
2022-07-15;Торт31;1.5;1200.50
2022-07-16;Торт32;1.2;950.25
2022-07-17;Торт33;1.8;1500.75
2022-07-18;Торт34;1.4;1100.00
2022-07-19;Торт35;1.6;1350.75
2022-08-20;Торт36;1.5;1200.50
2022-08-21;Торт37;1.2;950.25
2022-08-22;Торт38;1.8;1500.75
2022-08-23;Торт39;1.4;1100.00
2022-08-24;Торт40;1.6;1350.75
2022-09-25;Торт41;1.5;1200.50
2022-09-26;Торт42;1.2;950.25
2022-09-27;Торт43;1.8;1500.75
2022-09-28;Торт44;1.4;1100.00
2022-09-29;Торт45;1.6;1350.75
2022-10-30;Торт46;1.5;1200.50
2022-10-01;Торт47;1.2;950.25
2022-10-02;Торт48;1.8;1500.75
2022-10-03;Торт49;1.4;1100.00
2023-10-04;Торт50;1.6;1350.75
2023-11-05;Торт51;1.5;1200.50
2023-11-06;Торт52;1.2;950.25
2023-11-07;Торт53;2.5;1700.75
2023-11-08;Торт54;1.4;1100.00
2023-11-09;Торт55;1.6;1350.75
2023-12-10;Торт56;1.5;1200.50
2023-12-11;Торт57;1.2;950.25
2023-12-12;Торт58;1.8;1500.75
2023-12-13;Торт59;1.4;1100.00
2023-12-14;Торт60;1.6;1350.75
2023-01-15;Торт61;1.5;1200.50
2023-01-16;Торт62;1.2;950.25
2023-01-17;Торт63;1.8;1500.75
2023-01-18;Торт64;1.4;1100.00
2023-01-19;Торт65;1.6;1350.75
2023-02-20;Торт66;1.5;1200.50
2023-02-21;Торт67;1.2;950.25
2023-02-22;Торт68;1.8;1500.75
2023-02-23;Торт69;1.4;1100.00
2023-02-24;Торт70;1.6;1350.75
2023-03-25;Торт71;1.5;1200.50
2023-03-26;Торт72;1.2;950.25
